日期,指标代码,指标名称,数值,单位,频率,来源
2020-01-14,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.8858,人民币/美元,日度,Frankfurter API
2020-01-15,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.888,人民币/美元,日度,Frankfurter API
2020-01-16,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.8795,人民币/美元,日度,Frankfurter API
2020-01-17,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.8587,人民币/美元,日度,Frankfurter API
2020-01-20,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.8662,人民币/美元,日度,Frankfurter API
2020-01-21,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9035,人民币/美元,日度,Frankfurter API
2020-01-22,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9021,人民币/美元,日度,Frankfurter API
2020-01-23,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9333,人民币/美元,日度,Frankfurter API
2020-01-24,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9333,人民币/美元,日度,Frankfurter API
2020-01-27,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9367,人民币/美元,日度,Frankfurter API
2020-01-28,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9367,人民币/美元,日度,Frankfurter API
2020-01-29,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9366,人民币/美元,日度,Frankfurter API
2020-01-30,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9366,人民币/美元,日度,Frankfurter API
2020-01-31,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9367,人民币/美元,日度,Frankfurter API
2020-02-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0198,人民币/美元,日度,Frankfurter API
2020-02-04,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9966,人民币/美元,日度,Frankfurter API
2020-02-05,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9725,人民币/美元,日度,Frankfurter API
2020-02-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9686,人民币/美元,日度,Frankfurter API
2020-02-07,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9934,人民币/美元,日度,Frankfurter API
2020-02-10,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.983,人民币/美元,日度,Frankfurter API
2020-02-11,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9741,人民币/美元,日度,Frankfurter API
2020-02-12,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9702,人民币/美元,日度,Frankfurter API
2020-02-13,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9835,人民币/美元,日度,Frankfurter API
2020-02-14,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9874,人民币/美元,日度,Frankfurter API
2020-02-17,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9815,人民币/美元,日度,Frankfurter API
2020-02-18,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0018,人民币/美元,日度,Frankfurter API
2020-02-19,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9943,人民币/美元,日度,Frankfurter API
2020-02-20,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0238,人民币/美元,日度,Frankfurter API
